STATE/UT,CRIME HEAD,Year,Crime Count
Andhra Pradesh,RAPE,2001,871
Arunachal Pradesh,RAPE,2001,33
Assam,RAPE,2001,817
Bihar,RAPE,2001,888
Chhattisgarh,RAPE,2001,959
Goa,RAPE,2001,12
Gujarat,RAPE,2001,286
Haryana,RAPE,2001,398
Himachal Pradesh,RAPE,2001,124
Jammu & Kashmir,RAPE,2001,169
Jharkhand,RAPE,2001,567
Karnataka,RAPE,2001,293
Kerala,RAPE,2001,562
Madhya Pradesh,RAPE,2001,2851
Maharashtra,RAPE,2001,1302
Manipur,RAPE,2001,20
Meghalaya,RAPE,2001,26
Mizoram,RAPE,2001,52
Nagaland,RAPE,2001,17
Odisha,RAPE,2001,790
Punjab,RAPE,2001,298
Rajasthan,RAPE,2001,1049
Sikkim,RAPE,2001,8
Tamil Nadu,RAPE,2001,423
Tripura,RAPE,2001,102
Uttar Pradesh,RAPE,2001,1958
Uttarakhand,RAPE,2001,74
West Bengal,RAPE,2001,709
A&N Islands,RAPE,2001,3
Chandigarh,RAPE,2001,18
D&N Haveli,RAPE,2001,6
Daman & Diu,RAPE,2001,0
Delhi UT,RAPE,2001,381
Lakshadweep,RAPE,2001,0
Puducherry,RAPE,2001,9
All India,RAPE,2001,16075
Andhra Pradesh,RAPE,2002,1002
Arunachal Pradesh,RAPE,2002,38
Assam,RAPE,2002,970
Bihar,RAPE,2002,1040
Chhattisgarh,RAPE,2002,992
Goa,RAPE,2002,12
Gujarat,RAPE,2002,267
Haryana,RAPE,2002,361
Himachal Pradesh,RAPE,2002,137
Jammu & Kashmir,RAPE,2002,192
Jharkhand,RAPE,2002,797
Karnataka,RAPE,2002,292
Kerala,RAPE,2002,499
Madhya Pradesh,RAPE,2002,2891
Maharashtra,RAPE,2002,1352
Manipur,RAPE,2002,14
Meghalaya,RAPE,2002,38
Mizoram,RAPE,2002,76
Nagaland,RAPE,2002,17
Odisha,RAPE,2002,691
Punjab,RAPE,2002,299
Rajasthan,RAPE,2002,1051
Sikkim,RAPE,2002,6
Tamil Nadu,RAPE,2002,534
Tripura,RAPE,2002,108
Uttar Pradesh,RAPE,2002,1415
Uttarakhand,RAPE,2002,89
West Bengal,RAPE,2002,759
A&N Islands,RAPE,2002,2
Chandigarh,RAPE,2002,18
D&N Haveli,RAPE,2002,4
Daman & Diu,RAPE,2002,0
Delhi UT,RAPE,2002,403
Lakshadweep,RAPE,2002,1
Puducherry,RAPE,2002,6
All India,RAPE,2002,16373
Andhra Pradesh,RAPE,2003,946
Arunachal Pradesh,RAPE,2003,31
Assam,RAPE,2003,1095
Bihar,RAPE,2003,985
Chhattisgarh,RAPE,2003,898
Goa,RAPE,2003,31
Gujarat,RAPE,2003,236
Haryana,RAPE,2003,353
Himachal Pradesh,RAPE,2003,126
Jammu & Kashmir,RAPE,2003,211
Jharkhand,RAPE,2003,712
Karnataka,RAPE,2003,321
Kerala,RAPE,2003,394
Madhya Pradesh,RAPE,2003,2738
Maharashtra,RAPE,2003,1268
Manipur,RAPE,2003,18
Meghalaya,RAPE,2003,40
Mizoram,RAPE,2003,54
Nagaland,RAPE,2003,14
Odisha,RAPE,2003,725
Punjab,RAPE,2003,380
Rajasthan,RAPE,2003,1050
Sikkim,RAPE,2003,10
Tamil Nadu,RAPE,2003,557
Tripura,RAPE,2003,114
Uttar Pradesh,RAPE,2003,911
Uttarakhand,RAPE,2003,107
West Bengal,RAPE,2003,1002
A&N Islands,RAPE,2003,2
Chandigarh,RAPE,2003,18
D&N Haveli,RAPE,2003,1
Daman & Diu,RAPE,2003,5
Delhi UT,RAPE,2003,490
